,Date,BOD,AmNi,Chla,DO,Ecoli,FC,NitraNi,NitriNi,OrPh,pH,Sal,SDD,Si,SS,Temp,TIN,TKN,ToNi,ToPh,Tur,UnAm,VSS,B1,B2,B3,B4,B5,B6,B7,B8A,B11,B12,Image_Year
2022,2018-03-16,0.7,0.24,0.9,6.1,2700,4600.0,0.13,0.02,0.03,7.9,31.9,3.5,0.7,4.2,18.3,0.39,0.42,0.57,0.05,1.6,0.01,1.2,0.0233475070032566,0.0335889567746058,0.0342489947868233,0.0129612826516363,0.0098274767442555,0.0094340068140676,0.0123031599780483,0.0071319999873146,0.0081912077563602,0.0125749733607182,2018
2023,2018-03-16,0.6,0.1,1.4,7.3,70,150.0,0.12,0.02,0.02,8.0,32.0,3.0,0.69,7.3,18.0,0.24,0.32,0.46,0.04,1.2,0.0005,1.3,0.028048345332039,0.0368161277415026,0.0342034725688848,0.0174894190155558,0.0163431397673963,0.0214618488583004,0.0256921674787455,0.0203541169160304,0.0092011112672245,0.0157206597995949,2018
2080,2018-03-21,0.5,0.14,0.5,6.2,34,55.0,0.22,0.01,0.01,7.6,31.1,2.0,0.66,4.6,19.2,0.37,0.45,0.68,0.02,2.3,0.0005,0.8,-0.0039891452524185,0.0190854986834405,0.032944184587556,0.0036325685945969,0.001014578212548,-0.0033784599327712,0.0002295205330561,0.0020948883559094,0.0118996898831931,0.0257530871571524,2018
2081,2018-03-21,0.7,0.12,0.6,6.6,1,2.0,0.18,0.01,0.02,7.6,31.5,2.0,0.68,7.3,19.5,0.31,0.4,0.59,0.02,4.2,0.0005,1.3,-0.0036985624406514,0.02283316761687,0.0383994560061926,0.0078480559471389,0.004389291173028,-0.0013335878944253,0.001122842711286,0.0034508348276616,0.0147083202529838,0.0269967843684287,2018
2084,2018-03-21,0.7,0.13,1.3,6.6,2100,3200.0,0.18,0.001,0.03,7.6,31.5,2.0,0.6,8.2,19.3,0.31,0.36,0.54,0.03,5.8,0.0005,1.4,-0.0066119287165173,0.0187773954602393,0.0321752463777215,0.0035189136675664,0.0013057051710792,-0.0037306882083752,-0.0005263601688385,0.0006838730628878,0.0129248311686173,0.0260871774619957,2018
2147,2018-04-05,0.5,0.17,0.3,5.8,200,410.0,0.28,0.01,0.03,7.9,30.4,3.0,1.1,3.5,22.4,0.46,0.31,0.6,0.03,2.7,0.01,0.5,0.0145849500985008,0.0333227459338837,0.0361205958315943,0.0152063678978879,0.0114056487364018,0.0109280661165131,0.0144169357642629,0.0151800603207573,0.0255509497301358,0.0387469038930644,2018
2148,2018-04-05,0.8,0.2,0.7,5.4,20,20.0,0.27,0.01,0.03,7.9,30.6,2.3,1.2,12.0,23.0,0.48,0.74,1.02,0.05,2.4,0.01,2.2,0.0341567003574823,0.0503098592195074,0.0467247776328685,0.0203802345020794,0.0167113207512644,0.0090983863989029,0.0130361530495024,0.0057287794624089,0.0083116064878792,0.0203712240344546,2018
2149,2018-04-05,0.5,0.17,0.5,5.1,240,340.0,0.3,0.02,0.03,7.9,30.4,3.5,1.2,9.0,22.3,0.49,0.37,0.69,0.04,2.9,0.01,1.7,0.0133806255605907,0.0336895897780421,0.0382160381699324,0.0108182299948993,0.0088912267801243,0.0081681357129932,0.0121560133123789,0.0111043218933803,0.0217497239548227,0.0325382393422616,2018
2150,2018-04-05,0.7,0.26,0.8,5.6,710,1100.0,0.21,0.01,0.03,7.9,31.2,2.7,1.0,9.9,22.7,0.48,0.7,0.92,0.05,1.9,0.01,2.0,0.0354352761909109,0.0600270769930327,0.0587769347628404,0.0320254236691982,0.0287024027333948,0.0234974383068126,0.0271424218906372,0.0242367453601754,0.029192823897566,0.0414568920050452,2018
2151,2018-04-05,0.3,0.07,1.0,5.6,1,1.0,0.08,0.001,0.02,7.9,32.6,5.0,0.52,7.3,22.3,0.16,0.48,0.57,0.02,1.5,0.0005,1.8,0.0021337934774614,0.0261163947623809,0.0249038757335548,0.0109475632937819,0.0075896282460206,0.0080354573611279,0.012534201820253,0.0098256181456539,0.0221194036394518,0.0325383908359967,2018
2152,2018-04-05,0.5,0.1,0.4,5.6,4,10.0,0.13,0.001,0.02,7.9,32.1,4.5,0.65,4.6,22.4,0.23,0.49,0.62,0.02,1.7,0.0005,1.5,0.0117912590680408,0.0318273708912777,0.0321539353067036,0.0151591101541526,0.0141214050734239,0.016500623648403,0.0210062588745029,0.0199189972262299,0.0300294936145969,0.0428952254270448,2018
2153,2018-04-05,0.8,0.18,0.5,5.6,51,97.0,0.15,0.01,0.04,7.9,32.1,2.9,0.83,9.2,22.7,0.34,0.61,0.77,0.05,1.5,0.01,1.6,0.0437078884598255,0.0662104359296791,0.0622700528241835,0.0328462700376812,0.0305072026671927,0.0296057391398084,0.0329223225671659,0.0276972334304255,0.0330226174851486,0.0432471041861652,2018
2169,2018-04-10,0.9,0.02,1.3,6.0,1,1.0,0.001,0.001,0.001,7.8,32.7,4.0,0.64,4.5,22.6,0.03,0.68,0.69,0.02,2.9,0.0005,2.5,0.0118743164487564,0.0318547261393334,0.0330448974012783,0.0235880307204814,0.0201831715908351,0.0202022807745547,0.0198190408518386,0.0204830537748405,0.0326590836123715,0.0398929304185837,2018
2170,2018-04-10,0.7,0.02,1.0,6.2,1,1.0,0.01,0.001,0.001,7.8,32.6,5.0,0.62,7.3,22.2,0.03,0.66,0.67,0.02,0.4,0.0005,1.5,0.0029824424951257,0.0207816683652845,0.017069416552815,-0.0056274501329968,-0.0119883393137344,-0.0128768678898462,-0.0087257505728222,-0.0116539007738365,0.0002438479986206,0.0108457686649635,2018
2171,2018-04-10,4.6,0.17,17.0,6.4,40,99.0,0.6,0.05,0.01,7.7,25.5,2.5,2.0,7.3,24.2,0.82,0.46,1.11,0.07,7.5,0.0005,2.6,0.0118161872332228,0.0256490094363315,0.0497211827248364,0.0148296718972993,0.0100807446028676,-8.754633554395698e-05,0.0030621313904436,0.0012340193533959,0.014747499029272,0.0259813791188648,2018
2172,2018-04-10,0.5,0.02,0.5,6.3,1,1.0,0.001,0.001,0.01,7.7,33.0,4.0,0.5,6.4,21.5,0.03,0.78,0.78,0.02,0.7,0.0005,1.3,-0.0054281321161744,0.0066915774865133,0.0118662568084591,-0.0188041188656491,-0.021725056672927,-0.0209896683445472,-0.0140170800337745,-0.0190657839795334,-0.0070027595020423,0.0042713952700458,2018
2173,2018-04-10,3.3,0.45,7.3,8.5,390,770.0,1.9,0.09,0.1,7.1,16.6,1.0,3.8,26.0,24.4,2.44,0.86,2.85,0.18,33.7,0.0005,19.0,0.028847913252998,0.0436899082427806,0.0752006195020559,0.0612153488228887,0.0632763508598646,0.0340717822053828,0.0378159571165718,0.0346093357130451,0.0357930810290186,0.0457215113849978,2018
2204,2018-05-15,0.6,0.01,1.1,6.8,1,1.0,0.001,0.001,0.001,7.8,33.8,4.5,0.2,8.5,26.0,0.01,0.25,0.25,0.02,0.5,0.0005,3.4,0.0363067286810204,0.0544366912139188,0.051621623065796,0.0412994998804711,0.0350470645198381,0.0348357384436952,0.0364686723415397,0.0343853085189233,0.0449744840834062,0.0321954550440617,2018
2378,2018-08-08,2.1,0.09,24.0,6.7,1300,4300.0,0.21,0.05,0.01,8.2,27.4,2.5,0.25,9.9,29.1,0.36,0.3,0.56,0.03,1.2,0.01,3.4,0.0693343689772731,0.0594770312917496,0.0525755990537057,0.0422401332491904,0.0353555019558317,0.0322613585390727,0.0316377659117032,0.0288092694291621,0.0316152940057663,0.0258088567433945,2018
2379,2018-08-08,1.2,0.08,21.0,6.4,50,300.0,0.14,0.04,0.001,8.1,30.0,3.0,0.12,14.0,27.7,0.26,0.23,0.41,0.02,1.8,0.01,4.3,0.0250197458232033,0.0278723728760641,0.0369874451727526,0.0265504398547326,0.0281720303794593,0.0302888547526472,0.0317184460054164,0.0319035167113876,0.0357123024486568,0.0333991701901235,2018
2381,2018-08-08,2.3,0.05,21.0,8.1,3,19.0,0.04,0.02,0.001,8.3,29.7,3.0,0.05,9.6,28.7,0.11,0.9,0.96,0.02,0.9,0.01,3.2,0.0255831045620648,0.0574080501900083,0.0635862038954405,0.0644745362349131,0.0456823912097638,0.0532917100334803,0.0439980064071454,0.0422190571023913,0.0503100196078221,0.0369699505131409,2018
2395,2018-10-02,0.3,0.07,0.5,5.3,1700,2500.0,0.27,0.07,0.03,8.1,30.3,2.0,1.6,8.3,27.5,0.41,0.17,0.51,0.04,4.6,0.0005,2.4,0.0656570960163953,0.0733441740101289,0.0755311630060565,0.0389441122893327,0.0303414305559208,0.0239315859960225,0.0245004062926522,0.0197040180419977,0.0114261538952754,0.0125401729119888,2018
2396,2018-10-02,0.2,0.05,0.5,6.2,13,62.0,0.38,0.09,0.03,8.1,29.0,3.0,2.0,8.4,27.5,0.52,0.22,0.69,0.04,2.1,0.0005,1.4,0.0678470919586743,0.084729357288337,0.0849463404794237,0.0538484676278241,0.0479112610726578,0.0403550301562569,0.0416858942945995,0.0354144375395416,0.0315520672306645,0.0257303459235507,2018
2397,2018-10-02,0.3,0.04,0.4,5.6,110,200.0,0.47,0.11,0.03,8.1,28.0,2.0,2.3,9.6,27.0,0.62,0.13,0.71,0.04,2.6,0.0005,1.7,0.0432975655941711,0.0535896834004387,0.0546362310357928,0.0262749289421749,0.0218851247565283,0.0241617237624786,0.0269580555013733,0.0213161273808598,0.0028519531218699,0.0033319923914894,2018
2398,2018-10-02,0.4,0.11,0.3,6.2,590,1200.0,0.23,0.06,0.03,8.1,30.6,2.0,1.5,11.0,27.5,0.4,0.39,0.68,0.06,5.0,0.01,1.9,0.0504133331691336,0.0662387109397581,0.0718454916413389,0.0394116701260561,0.028569138130251,0.0174580344096482,0.0185817451548355,0.0124719174989894,0.0064042851940832,0.0075388780327395,2018
2463,2018-10-07,0.8,0.07,1.3,4.2,42,190.0,0.75,0.13,0.05,7.8,25.6,2.0,3.7,12.0,28.3,0.95,0.3,1.18,0.06,3.5,0.0005,3.1,0.053484945649325,0.0659713923288292,0.0707984162816678,0.0293021181521916,0.0196279525823339,0.010423664516899,0.0103153889849496,0.0077196468415896,0.002924870853686,0.0049753659707791,2018
2464,2018-10-07,0.7,0.06,1.7,4.0,10,18.0,0.87,0.15,0.07,7.7,24.3,2.0,3.8,16.0,27.8,1.08,0.27,1.29,0.09,6.0,0.0005,3.4,0.0537406267479422,0.0653241936999607,0.0726206283790898,0.0325023218779608,0.0222393766773167,0.010001096010922,0.010635045163762,0.0064044875738165,-0.0010334521170683,0.0006349794832866,2018
2465,2018-10-07,2.0,0.46,5.6,3.5,480,980.0,1.6,0.42,0.16,7.5,15.7,1.0,9.0,28.0,28.7,2.48,1.4,3.42,0.23,12.9,0.01,5.7,0.0456117555149104,0.0575538266702685,0.0777171826703543,0.0494624470602264,0.0455308435348024,0.0193906324351125,0.0200191339516142,0.012069945985752,-0.0009980235464351,0.0019721837894555,2018
2466,2018-10-07,2.7,0.54,7.8,3.7,660,2100.0,1.7,0.39,0.16,7.4,17.3,1.0,8.8,39.0,27.6,2.63,0.91,3.0,0.24,43.2,0.01,10.0,0.0513085465971705,0.0635126665990713,0.0833703195420455,0.0527282533723062,0.049256400964583,0.0234170104184202,0.0239095365479367,0.0158169791500158,0.0025337951296761,0.0050058030149079,2018
2467,2018-10-07,0.8,0.08,1.2,3.4,6,23.0,0.95,0.17,0.09,7.6,22.7,2.0,5.0,27.0,27.9,1.2,0.31,1.43,0.12,6.2,0.0005,5.6,0.0549993235469038,0.0665188831350417,0.0773437651640011,0.0411746247539012,0.031336294305548,0.0190713383955001,0.0192395508203494,0.0151769214627053,0.0041950411061763,0.0028754936220945,2018
2531,2018-10-22,0.6,0.02,4.6,5.3,1,1.0,0.05,0.04,0.01,8.0,32.2,2.0,1.3,9.8,26.3,0.11,0.55,0.64,0.02,2.2,0.0005,1.9,0.0583416594885498,0.062044003566583,0.0653349682816121,0.02834762990053,0.022194447163216,0.0183143455648675,0.0211963136400223,0.017507212639708,0.0064010653583184,0.0128988502798462,2018
2532,2018-10-22,0.8,0.04,11.0,6.2,1,1.0,0.14,0.05,0.02,8.0,31.9,2.0,1.5,11.0,26.1,0.23,0.16,0.35,0.03,4.4,0.0005,2.5,0.0327626494524365,0.0393586903307456,0.0478067072356504,0.0132462880841337,0.0070111426028719,0.0012038399838498,0.0034119845505474,-4.901630930637002e-05,-0.0036520959419891,0.0005855587167205,2018
2533,2018-10-22,0.5,0.01,3.0,5.5,1,2.0,0.04,0.04,0.01,8.0,32.4,2.0,1.1,10.0,26.2,0.09,0.14,0.22,0.02,2.7,0.0005,2.1,0.0484774942959966,0.0604707668664437,0.0655861134103474,0.0199618955216298,0.0118257409232496,0.0044131827524584,0.0077103962995648,0.0051125097955769,0.0015308041887019,0.006250469797254,2018
2534,2018-10-22,0.4,0.02,3.9,5.5,5,10.0,0.05,0.04,0.01,8.0,32.5,2.0,0.97,12.0,26.3,0.11,0.38,0.47,0.02,3.7,0.0005,2.3,0.0342152874198312,0.0484246204305803,0.0569622220040482,0.0174899170122643,0.0091906541619652,0.0018255246014914,0.0047022988607516,0.0009008410569754,-0.0027420636292536,0.0010692293628692,2018
2535,2018-10-22,0.6,0.01,3.5,6.8,1,3.0,0.02,0.03,0.01,8.1,32.8,3.0,0.74,8.1,26.1,0.05,0.18,0.23,0.02,1.9,0.0005,1.6,0.0392042551121819,0.0509703602195361,0.0505404441370735,0.0115202546802348,0.0048719915959056,0.0008860463401805,0.0042803337889158,0.0031128443974464,0.0012887609464108,0.0062843760556008,2018
2536,2018-10-22,1.0,0.07,5.7,5.5,1,1.0,0.13,0.06,0.02,8.0,31.8,2.0,1.3,8.1,26.5,0.26,0.2,0.39,0.03,2.3,0.0005,2.3,0.0230394299771334,0.0271159775485749,0.036404289304117,0.0124920910295321,0.0094696471521257,0.0064196667228593,0.0086079283690646,0.0068660468196103,0.0006938174677488,0.0053780811863878,2018
2572,2018-11-06,1.5,0.02,12.0,6.3,2,25.0,0.001,0.001,0.01,8.0,31.0,3.0,0.55,2.0,24.5,0.02,0.36,0.36,0.02,0.8,0.0005,1.4,0.01307062422852,0.0133495651820977,0.0141907339159362,0.002817770391263,0.0015588851468237,0.0012628638543422,0.0014588495316498,0.0005327071345835,-0.0029473933438464,-0.0002581671018973,2018
2573,2018-11-06,1.1,0.01,3.4,5.8,1,1.0,0.001,0.001,0.01,8.0,31.4,3.0,0.25,2.1,24.5,0.01,0.4,0.4,0.02,0.7,0.0005,1.8,0.014681002390215,0.016534931153574,0.014947359152524,0.001819361497638,0.0001857420132925,0.001346754646355,0.0015987614175513,0.0012637819525744,-0.0020941051956558,-0.000304697135938,2018
2574,2018-11-06,0.8,0.43,1.9,4.8,49,110.0,1.6,0.14,0.16,7.5,21.5,1.0,5.7,29.0,25.8,2.17,0.59,2.33,0.2,12.8,0.01,5.9,0.0396695100006908,0.0590774760527844,0.0821473733247052,0.0536989100996523,0.0414404281044457,0.0123039391919078,0.0128710812099802,0.0056885950172468,-0.0023129139698065,-0.0007424368521323,2018
2575,2018-11-06,0.9,0.01,4.0,6.1,1,3.0,0.001,0.001,0.01,8.0,31.6,3.0,0.29,1.7,24.5,0.01,0.35,0.35,0.02,0.7,0.0005,1.1,0.0146842529964235,0.0164332342762839,0.0154961285618681,0.0025912697298613,0.0009431337658482,0.0016334564079724,0.0017839440538808,0.0010113384411652,-0.0010665066033148,0.0006666459229361,2018
2576,2018-11-06,1.0,0.07,5.7,6.4,110,260.0,0.31,0.05,0.02,7.9,29.7,3.0,1.2,12.0,25.5,0.43,0.2,0.56,0.04,3.2,0.0005,3.0,0.038655523694983,0.0478367515321587,0.0532401798498877,0.0200035157911971,0.0133933220428252,0.0073780139566465,0.008461525840237,0.0051577753696502,0.0026716631405041,0.0034023352997258,2018
2577,2018-11-06,1.7,0.01,17.0,5.7,4,25.0,0.001,0.001,0.01,7.9,31.2,3.0,0.46,2.8,24.6,0.02,0.47,0.47,0.03,1.1,0.0005,2.3,0.0118297826010478,0.0141260732993076,0.0137380541934356,0.0031275582963994,0.001862937236293,0.0011338383164666,0.0016607689942878,0.0005420066880723,-0.0013265496018817,-3.984066090038792e-05,2018
2578,2018-11-06,0.6,0.13,0.9,6.1,1,2.0,0.83,0.07,0.08,7.7,27.5,2.0,3.0,11.0,25.5,1.03,0.28,1.18,0.1,3.9,0.0005,2.2,0.0351863331914442,0.0523988175699172,0.0646845634528863,0.0239905682806915,0.0136350711148291,0.0026824879785731,0.0032960432529255,0.0007108554839127,-0.0018449111991812,0.0002645093750494,2018
2579,2018-11-06,1.1,0.01,5.8,5.5,1,7.0,0.001,0.001,0.01,7.9,31.4,3.0,0.08,3.1,24.3,0.01,0.35,0.35,0.02,1.3,0.0005,1.6,0.0149573445550527,0.0186366802747649,0.0230254824797879,0.00385952606551,0.0014754709286605,0.0009550120926953,0.0016657015402083,0.0006213505195452,-0.0021808721357701,-9.578022260042188e-05,2018
2580,2018-11-06,1.2,0.01,5.9,5.5,1,1.0,0.001,0.001,0.01,7.9,31.6,3.0,0.25,1.7,24.5,0.01,0.3,0.3,0.02,0.7,0.0005,1.1,0.0132418648422616,0.0146349740376262,0.0144829191549755,0.0027965372523889,0.0015397746923187,0.0007732429567635,0.0013880118156997,0.0008088127273511,-0.0013395131483873,0.0015835959834354,2018
2581,2018-11-06,0.6,0.07,0.9,5.6,2,5.0,0.51,0.05,0.05,7.8,28.7,2.0,2.0,14.0,25.6,0.64,0.2,0.76,0.07,5.0,0.0005,2.9,0.0369979592679836,0.05077095642014,0.0599905230326848,0.0194234313382804,0.0114586663626369,0.0020266635581331,0.0041902183552298,0.0018838495743788,-0.0012819398010141,0.000157015908937,2018
2582,2018-11-06,0.9,0.36,2.8,5.1,18,67.0,1.5,0.12,0.15,7.5,22.3,1.0,5.5,26.0,25.9,1.98,0.57,2.19,0.19,12.2,0.01,4.8,0.0405044694046299,0.0596358325365426,0.0790311743160214,0.0450489391786603,0.030807108884107,0.0078679201698436,0.0086823986376979,0.0029918100637869,-0.0025045965354085,-0.000346889959686,2018
2645,2018-11-21,1.0,0.06,1.3,5.5,4,5.0,0.11,0.09,0.03,7.7,32.2,2.0,1.1,7.2,23.9,0.25,0.3,0.5,0.04,4.3,0.0005,1.1,0.0379342799976416,0.052799444864207,0.0577555486913448,0.0218222728966801,0.016247781917495,0.0087651716836392,0.0109250721530462,0.0083464692489234,0.0017479900775814,0.0038478745781411,2018
2646,2018-11-21,0.3,0.01,0.6,5.9,1,1.0,0.02,0.03,0.01,7.8,33.1,2.0,0.7,7.6,23.5,0.06,0.21,0.26,0.02,4.8,0.0005,1.2,0.0483181609357783,0.0640859242738671,0.0683618388503016,0.0281714287317684,0.0202937513790231,0.0101663976202173,0.0119382849946768,0.0089630788826211,0.002640294477527,0.0058593034981838,2018
2647,2018-11-21,0.7,0.09,1.5,5.5,11,12.0,0.1,0.08,0.03,7.7,32.4,2.0,0.92,11.0,23.8,0.27,0.35,0.53,0.04,5.7,0.0005,1.4,0.0422454932033717,0.0585441933143286,0.0635785022002541,0.0235906061171179,0.0168486756553456,0.0101603857763022,0.0113461901194278,0.0081122542127587,0.0017795448670642,0.0037254584220386,2018
2648,2018-11-21,0.7,0.09,1.6,5.2,1,4.0,0.12,0.08,0.03,7.8,31.6,2.0,0.98,11.0,23.7,0.29,0.31,0.51,0.07,5.7,0.0005,1.4,0.035737647834964,0.0498817866222212,0.054689878542452,0.0194590822065528,0.0144375693549959,0.0089874715173146,0.009855730243532,0.0065130249996169,0.0008545582446433,0.0029744072484946,2018
2649,2018-11-21,0.4,0.01,1.1,5.9,1,1.0,0.03,0.05,0.01,7.8,32.9,3.0,0.66,3.2,24.1,0.08,0.13,0.21,0.02,1.9,0.0005,0.8,0.0489712823865857,0.0648368153515719,0.0646116104679644,0.0247280883216049,0.0181894532541996,0.0104080015226295,0.0122738405584975,0.0078328946958551,0.0035076409218024,0.005207117518753,2018
2650,2018-11-21,0.7,0.01,1.5,6.1,1,1.0,0.06,0.08,0.02,7.8,32.9,2.0,0.9,7.5,24.1,0.15,0.16,0.3,0.05,6.8,0.0005,1.3,0.042518819714168,0.058431989375111,0.0618069793841325,0.0233458751836771,0.0161111166496903,0.0095257672304849,0.0107422298580345,0.0070680554893723,0.0017525851365772,0.0039664449504495,2018
2924,2019-04-05,0.5,0.01,0.9,5.6,1,1.0,0.001,0.001,0.01,7.9,33.6,2.7,0.22,8.8,21.8,0.01,0.22,0.22,0.02,0.7,0.0005,2.5,0.0420498280048356,0.0429811639878516,0.0360349956513527,0.0172295339736322,0.0206676824377661,0.0223272364354872,0.0242577180451852,0.0264493918521815,0.0344175538518204,0.0383403710014598,2019
2925,2019-04-05,0.8,0.02,0.9,5.3,1,2.0,0.001,0.001,0.01,7.9,32.6,3.6,0.07,9.0,21.5,0.02,0.26,0.26,0.02,0.4,0.0005,2.5,0.0434083469869855,0.0452066529129703,0.0378320677053182,0.0210273890480944,0.0234724609080668,0.0325211322414439,0.0318612720293571,0.0288605096726292,0.0168740501829131,0.0130037717227499,2019
2927,2019-04-05,0.7,0.03,1.4,5.7,7,32.0,0.001,0.001,0.01,7.9,33.1,2.6,0.19,6.8,21.8,0.03,0.6,0.6,0.02,0.7,0.0005,1.9,0.0507946701425868,0.051699663857961,0.0463609375928476,0.029078393173233,0.029134979765572,0.0349391471023205,0.0364456853822152,0.0335957737512331,0.0204977120863919,0.0182518148866402,2019
2928,2019-04-05,0.7,0.01,1.5,4.7,1,1.0,0.001,0.001,0.01,7.9,33.3,2.7,0.18,11.0,21.8,0.02,0.21,0.21,0.02,0.8,0.0005,2.8,0.0488048126926533,0.0558492375863133,0.0517312241272019,0.0325482997322271,0.0362685251273584,0.047637016172121,0.0498767181875921,0.0486582958676867,0.0291727197149169,0.020408381580122,2019
2964,2019-04-25,1.0,0.06,3.9,6.5,1,1.0,0.82,0.05,0.03,8.0,22.0,2.5,3.6,7.6,27.0,0.93,0.41,1.28,0.04,1.5,0.0005,2.3,0.0413478715815502,0.0470293983694131,0.0544084392625021,0.0342413839990155,0.0305950180110022,0.0286483548015287,0.0316048477523692,0.032642783285129,0.0513399961890926,0.0469204674475735,2019
2966,2019-04-25,0.8,0.22,1.0,5.7,110,290.0,1.4,0.1,0.06,7.9,13.5,2.3,6.0,10.0,25.5,1.72,0.5,2.0,0.06,3.7,0.01,3.1,0.0425956523746277,0.0648307344025126,0.0899122465007977,0.0638830599263233,0.0501590600002922,0.0294214882643508,0.0338060947629616,0.0321113684103091,0.0458818323935516,0.0429583532969249,2019
2967,2019-04-25,0.8,0.28,1.4,5.2,220,630.0,1.6,0.14,0.07,7.7,10.4,1.6,6.8,6.9,25.8,2.02,0.58,2.32,0.07,6.3,0.01,1.9,0.03212534800705,0.048203219355028,0.067003580767579,0.0437897128716288,0.0378188630823563,0.0292576763713202,0.0325818628968129,0.033150034328026,0.0435452908313281,0.0411050653021301,2019
2968,2019-04-25,0.6,0.26,2.1,5.7,150,530.0,1.7,0.13,0.07,7.8,9.4,1.4,7.2,7.0,26.3,2.09,0.6,2.43,0.08,5.1,0.01,1.8,0.0305558747532241,0.0455497988273327,0.0657854960548949,0.0469574667763959,0.0427019209291776,0.0345102983436019,0.0391071644790529,0.0404151100695143,0.0500994241682014,0.047229079880491,2019
3003,2019-08-08,0.8,0.25,2.4,4.6,420,790.0,0.2,0.07,0.03,7.9,28.4,2.5,1.9,3.0,28.1,0.52,0.49,0.76,0.06,11.6,0.01,0.8,0.0273068858576773,0.04908356801904,0.0644736048677218,0.0441052960882121,0.0393305140071516,0.0405376589763319,0.0435489230613339,0.0443641008814988,0.0642241989584847,0.0600880861223418,2019
3005,2019-08-08,0.9,0.24,1.9,4.7,250,780.0,0.18,0.06,0.03,7.9,28.8,2.3,1.7,2.9,28.4,0.48,0.52,0.76,0.06,12.1,0.01,0.9,0.0249417324358142,0.0527523887617308,0.05701731679735,0.0351397193987084,0.0406033104727094,0.0424526045816825,0.0421777426134327,0.0421921284046927,0.0567939400877823,0.0557860755302836,2019
3006,2019-08-08,0.4,0.11,0.9,4.4,910,2200.0,0.22,0.09,0.02,7.9,28.2,2.0,2.1,7.6,27.8,0.42,0.3,0.61,0.05,13.1,0.01,1.0,0.0334705657159319,0.0567617247349752,0.0683169833157351,0.0484227200657367,0.0429109762846401,0.0408090882824986,0.0484737890031867,0.0474106758187013,0.0610462924589088,0.0608055674618626,2019
3008,2019-08-08,0.8,0.08,3.6,4.8,68,160.0,0.38,0.11,0.02,7.9,25.2,1.9,1.9,3.5,28.8,0.57,0.23,0.72,0.05,15.3,0.0005,0.7,0.0282582305003664,0.0497749351985608,0.060582098726412,0.0399116580115148,0.0345334505975585,0.0321689418622754,0.0403652085361339,0.037891678663177,0.0588977855407778,0.0568073988078892,2019
3009,2019-08-08,0.9,0.05,4.6,5.1,73,120.0,0.46,0.12,0.02,7.9,24.5,1.2,2.3,3.9,28.7,0.63,0.19,0.77,0.04,15.0,0.0005,0.8,0.0333601934659337,0.0543065962649915,0.0605268174604239,0.0368265245511865,0.0342058315055812,0.0322128497054591,0.0368736701565315,0.0364382177995893,0.0541262899533652,0.052419784180848,2019
3010,2019-08-08,0.6,0.04,2.8,4.8,33,50.0,0.36,0.12,0.02,7.9,24.8,2.0,2.0,4.5,28.6,0.52,0.2,0.68,0.04,15.5,0.0005,1.0,0.0289849161632559,0.0472149523722343,0.0636990301130965,0.0397780152617697,0.0354680764647653,0.0338087021248503,0.0397303320404798,0.039260685659228,0.0564057609471188,0.056267191798029,2019
3070,2019-09-07,0.3,0.07,0.4,5.8,1,1.0,0.1,0.02,0.01,8.2,30.7,3.1,1.2,7.3,27.9,0.19,0.36,0.48,0.04,3.9,0.01,1.5,0.0002276745437577,0.0332781912887451,0.0501022074841431,0.0321132405819733,0.0238183331693649,0.0170622723383791,0.0206322762688487,0.019404306393499,0.0315646147796305,0.0309479836350967,2019
3071,2019-09-07,0.5,0.03,1.1,5.7,1,13.0,0.001,0.001,0.001,8.2,31.5,3.4,0.58,6.9,28.3,0.03,0.43,0.43,0.02,2.9,0.0005,1.6,0.0064846751630457,0.0493910615944694,0.0519326300011907,0.0363607394920953,0.0288843082365713,0.0290163944440233,0.0335789230031319,0.0315116525885811,0.0454367655201362,0.0403394002686771,2019
3072,2019-09-07,0.1,0.07,0.3,5.6,1,9.0,0.06,0.01,0.001,8.2,31.2,3.8,0.78,6.7,28.0,0.14,0.32,0.39,0.02,4.0,0.01,1.2,0.0078491893405382,0.0436110857475374,0.0544811906143378,0.034633194437862,0.026957377219375,0.0221164298097609,0.0304697420292561,0.0245166255771224,0.0406102858924434,0.0369946913586534,2019
3073,2019-09-07,0.3,0.06,0.3,5.5,1,13.0,0.11,0.02,0.01,8.2,30.8,2.3,1.3,7.5,28.3,0.19,0.45,0.58,0.03,4.9,0.01,1.6,0.0225495633758989,0.0529015911716344,0.0577761525729301,0.0266535378555404,0.0180728044553569,0.013149894868951,0.0181216191399158,0.0173780275575207,0.0259013339693875,0.0265719939819239,2019
3074,2019-09-07,0.4,0.06,0.4,5.7,1,6.0,0.05,0.01,0.01,8.2,31.3,3.3,0.84,7.6,28.0,0.12,0.45,0.51,0.02,4.0,0.01,1.6,0.0102437143472851,0.0351161062606814,0.0388594144445994,0.0205128101848202,0.0184550074530675,0.0193043813970022,0.022996058594456,0.0236168947215275,0.0345286276118373,0.0337895549322725,2019
3075,2019-09-07,0.3,0.09,1.2,5.6,16,71.0,0.15,0.03,0.02,8.1,30.1,2.5,1.7,7.1,27.8,0.28,0.4,0.58,0.04,3.5,0.01,1.4,0.0084676671534192,0.0267839128626348,0.0318288341989969,-0.0020857325516651,-0.0044021779086953,-0.0052068421374523,-0.004761107106871,-0.0082948680212913,-0.0025691563761531,-0.0003385581342399,2019
